"site_name","central_asset_id","easting","northing","feature_location","coltype","listed","suitable"
"ABBEY ORCHARD STREET","00019955",529737.83,179359.65,"Opposite SO 25 VICTORIA STREET","Small Grey Wornum","Heritage","False"
"ABBEY ORCHARD STREET","01300138",529755.57,179342.36,"Opposite 4","Small Grey Wornum","Heritage","False"
"ABBEY ORCHARD STREET","00019957",529774.38,179344.19,"Side of 4","Small Grey Wornum","Heritage","False"
"ABBEY ORCHARD STREET","00019958",529792.28,179365.16,"Opposite ORCHARD STREET ESTATE","Small Grey Wornum","Heritage","False"
"ABBEY ORCHARD STREET","00019959",529813.4,179361.18,"At or Outside ORCHARD STREET ESTATE","Small Grey Wornum","Heritage","False"
"ABBEY ROAD","00019988",526011.87,183668.6,"OPPOSITE NO.81 JUNCTION WITH BOUNDARY ROAD","Standard","Functional","False"
"ABBEY ROAD","00019998",526133.75,183540.56,"Opposite 47","Standard","Functional","False"
"ABBEY ROAD","00019999",526140.56,183517.61,"Opposite 56","Standard","Functional","False"
"ABBEY ROAD","00020000",526160.3,183509.48,"At or Outside 52","Standard","Functional","False"
"ABBEY ROAD","00020001",526163.84,183491.56,"Side of CARLTON HILL","Standard","Functional","False"
"ABBEY ROAD","00020002",526187.18,183479.06,"Side of CARLTON HILL","Standard","Functional","False"
"ABBEY ROAD","00020003",526193.67,183455.83,"At or Outside 45","Standard","Functional","False"
"ABBEY ROAD","00020004",526213.59,183446.27,"At or Outside 48","Standard","Functional","False"
"ABBEY ROAD","00020005",526218.39,183425.71,"Near 41","Standard","Functional","False"
"ABBEY ROAD","00020006",526233.41,183407.83,"Opposite BLENHEIM ROAD","Standard","Functional","False"
"ABBEY ROAD","00019990",526020.37,183645.23,"At or Outside 75","Standard","Functional","False"
"ABBEY ROAD","00020007",526252.12,183398.99,"Opposite BLENHEIM TERRACE","Standard","Functional","False"
"ABBEY ROAD","00020008",526259.24,183375.21,"At or Outside ABBEY COURT","Standard","Functional","False"
"ABBEY ROAD","00020009",526273.72,183357.57,"At or Outside ELLIS FRANKLIN COURT","Standard","Functional","False"
"ABBEY ROAD","00020010",526282.82,183346.28,"Opposite 38","Standard","Functional","False"
"ABBEY ROAD","00062583",526292.61,183333.42,"At or Outside NEW LONDON SYNAGOGUE","Standard","Functional","False"
"ABBEY ROAD","00020012",526318.47,183315.89,"Opposite 31","Standard","Functional","False"
"ABBEY ROAD","00020013",526329.38,183287.36,"At or Outside 27","Standard","Functional","False"
"ABBEY ROAD","00020014",526346.3,183280.5,"Opposite 23","Standard","Functional","False"
"ABBEY ROAD","00020016",526360.95,183261.85,"Opposite ABBEY GARDENS","Standard","Functional","False"
"ABBEY ROAD","00020017",526370.24,183234.52,"At or Outside 11","Standard","Functional","False"
"ABBEY ROAD","00019992",526048.36,183632.48,"Side of SPRINGFIELD ROAD","Standard","Functional","False"
"ABBEY ROAD","00020018",526393.88,183219.62,"Opposite Langford court","Standard","Functional","False"
"ABBEY ROAD","00020019",526399.66,183196.8,"Opposite 20","Standard","Functional","False"
"ABBEY ROAD","00020020",526419.82,183185.79,"Opposite ABERCORN PLACE, O/ no.29","Standard","Functional","False"
"ABBEY ROAD","00020021",526420.77,183169.32,"At or Outside SARA COURT","Standard","Functional","False"
"ABBEY ROAD","00020015",526435.28,183150.21,"Opposite GROVE END GARDENS","Standard","Functional","False"
"ABBEY ROAD","00020022",526439.99,183159.53,"At or Outside GROVE END GARDENS","Standard","Functional","False"
"ABBEY ROAD","00020023",526448.97,183131.78,"At or Outside ADELAIDE COURT","Standard","Functional","False"
"ABBEY ROAD","00020024",526469.53,183119.23,"Opposite HILL ROAD","Standard","Functional","False"
"ABBEY ROAD","00020025",526474.26,183095.88,"At or Outside MORTIMER COURT","Standard","Functional","False"
"ABBEY ROAD","00020026",526498.66,183075.95,"At or Outside 18-26 NEVILLE COURT","Standard","Functional","False"
"ABBEY ROAD","00020027",526504.5,183050.57,"At or Outside ABBEY ROAD STUDIOS","Standard","Functional","False"
"ABBEY ROAD","00019991",526049.63,183615.47,"Opposite SPRINGFIELD ROAD","Standard","Functional","False"
"ABBEY ROAD","00020028",526529.11,183031.88,"Side of GROVE END ROAD","Standard","Functional","False"
"ABBEY ROAD","00019993",526065.68,183614.2,"Opposite junction with BELGRAVE GARDENS","Standard","Functional","False"
"ABBEY ROAD","00019994",526066.34,183598.21,"Side of BELGRAVE GARDENS","Standard","Functional","False"
"ABBEY ROAD","00019995",526091.76,183586.2,"At or Outside 62","Standard","Functional","False"
"ABBEY ROAD","00019997",526103.13,183560.12,"Opposite 60","Standard","Functional","False"
"ABERCORN CLOSE","00072667",526243.73,183001,"Side of 4A ABERCORN CLOSE","Small Grey Wornum","Functional","False"
"ABERCORN PLACE","00019967",526408.82,183171.36,"Near ABBEY ROAD","Standard","Functional","False"
"ABERCORN PLACE","00019977",526174.26,182992.23,"At or Outside ST MARKS CHURCH","Standard","Functional","False"
"ABERCORN PLACE","00053502",526149.11,182954.61,"At or Outside 107","Standard","Functional","True"
"ABERCORN PLACE","00053503",526126.69,182953.24,"At or Outside 9-14 WARNER HOUSE","Standard","Functional","True"
"ABERCORN PLACE","00019980",526117.09,182928.2,"At or Outside 2 ABERCORN COTTAGES","Standard","Functional","True"
"ABERCORN PLACE","00019981",526089.19,182922.22,"At or Outside WARNER HOUSE","Standard","Functional","True"
"ABERCORN PLACE","01101658",526084.45,182901.03,"At or Outside 2ND FROM MAIDA VALE RPAD","Standard","Functional","True"
"ABERCORN PLACE","00019983",526051.15,182890.37,"Side of ABERCORN PLACE","Standard","Functional","False"
"ABERCORN PLACE","00019968",526373.55,183157.56,"At or Outside 35","Standard","Functional","False"
"ABERCORN PLACE","00019969",526349.62,183122.18,"At or Outside 30","Standard","Functional","False"
"ABERCORN PLACE","00019970",526319.42,183112.39,"At or Outside 25A","Standard","Functional","False"
"ABERCORN PLACE","00019971",526301.85,183083.15,"At or Outside 14","Standard","Functional","True"
"ABERCORN PLACE","00019972",526268.84,183070.89,"At or Outside 13","Standard","Functional","False"
"ABERCORN PLACE","00019973",526261.53,183049.3,"Opposite J/W NUGENT TERRACE","Standard","Functional","False"
"ABERCORN PLACE","00019975",526231.33,183039.86,"At or Outside CHURCH HALL","Standard","Functional","True"
"ABERCORN PLACE","00019976",526203.86,183000.96,"At or Outside 2A","Standard","Functional","True"
"ABERDEEN PLACE","00009958",526599.87,182221.43,"Side of 508 MAIDA VALE","Standard","Functional","False"
"ABERDEEN PLACE","01300073",526614,182234,"At or Outside 1B (COIFFEUR DE DAMES)","Standard","Not Specified","True"
"ABERDEEN PLACE","00009962",526606.1,182245.96,"At or Outside 69-76 CLIFTON COURT","Standard","Functional","False"
"ABERDEEN PLACE","00009963",526644.36,182259.19,"Opposite NORTHWICK TERRACE","Standard","Functional","True"
"ABERDEEN PLACE","00009964",526657.45,182288.58,"At or Outside 33","Standard","Functional","False"
"ABERDEEN PLACE","00009965",526691.43,182298.25,"Opposite 27","Standard","Functional","False"
"ABERDEEN PLACE","01302188",526722.99,182330.16,"Junction with Victoria passage","Standard","Not Specified","True"
"ABERDEEN PLACE","01302432",526721.74,182323.66,"Opposite 24 (junction with Victoria Passage)","Standard","Not Specified","True"
"ABINGDON STREET","00066638",530207.18,179345.77,"Near 6M FROM BLACK RODS GARDEN","Large Grey Wornum","Heritage","False"
"ABINGDON STREET","00024377",530201.25,179411.75,"Outside Chancellors Court (Parliament) Opposite Old Palace Yard","Large Grey Wornum","Heritage","False"
"ABINGDON STREET","10027453A",530184.8,179397.68,"Opposite PARLIMENT","Large Grey Wornum","Heritage","False"
"ABINGDON STREET","00009985",530205.02,179388.77,"At or Outside Sovereigns Entrance","Large Grey Wornum","Heritage","False"
"ABINGDON STREET","00259189",530190.56,179364.38,"Opposite Sovereigns Entrance","Large Grey Wornum - Security","Heritage","False"
"ABINGDON STREET","10027451A",530207.99,179362.83,"At or Outside PARLIMENT ENTRANCE","Large Grey Wornum","Heritage","False"
"ABINGDON STREET","00009979",530191.77,179329.75,"Near 18M FROM GREAT COLLEGE STREET","Large Grey Wornum","Heritage","False"
"ABINGDON STREET","10027450A",530208.63,179321.01,"Side of PARK","Large Grey Wornum","Heritage","False"
"ABINGDON STREET","00066611",530191.47,179310.17,"Near 6M FROM GREAT COLLEGE STREET","Large Grey Wornum","Heritage","False"
"ABINGDON STREET","00057715",530159.64,179494.84,"Opposite George V Statue","Large Grey Wornum","Heritage","False"
"ABINGDON STREET","00009995",530167.12,179603.85,"Opposite George V Statue","Large Grey Wornum","Heritage","False"
"ABINGDON STREET","00074822",530162.83,179479.22,"Opposite 7 Old Palace Yard","Large Grey Wornum","Heritage","False"
"ABINGDON STREET","00074823",530191.96,179426.03,"Opposite Old Palace Yard","Large Grey Wornum","Heritage","False"
"ABINGDON STREET","00024375",530179.56,179425.99,"At Junction with Old Palace Yard","Large Grey Wornum","Heritage","False"
"ACACIA PLACE","01302118",526867.95,183419.27,"Job no. 808911 waiting for UKPN Transfer / Outside No. 12","Small Grey Wornum","Not Specified","False"
"ACACIA PLACE","00020870",526856.51,183446.86,"At or Outside 1","Small Grey Wornum","Heritage","False"
"ACACIA PLACE","00020873",526843.66,183456.77,"At or Outside 7","Standard","Heritage","False"
"ACACIA ROAD","01302145",526736.41,183309.81,"Job No. 808968 & 809017 waiting for UKPN -Outside St Johns Wood Station junction with Wellington Road","Standard","Not Specified","False"
"ACACIA ROAD","01302419",526940.96,183473.01,"Outside 49","Standard","Not Specified","False"
"ACACIA ROAD","00020881",526967.64,183487.3,"At or Outside 14","Standard","Functional","False"
"ACACIA ROAD","00020882",526982.73,183520.32,"At or Outside 44","Standard","Functional","True"
"ACACIA ROAD","01302420",527009.88,183536.27,"Outside 21","Standard","Not Specified","True"
"ACACIA ROAD","00020885",527018.31,183563.98,"At or Outside 38","Standard","Functional","True"
"ACACIA ROAD","00063313",527047.77,183584.66,"Near WORONZOW RD","Standard","Functional","False"
"ACACIA ROAD","00020886",527057.78,183612.97,"At or Outside 35","Standard","Functional","True"
"ACACIA ROAD","00020887",527076.65,183620.41,"At or Outside 28","Standard","Functional","False"
"ACACIA ROAD","00020888",527089.69,183652.04,"At or Outside 30","Standard","Functional","True"
"ACACIA ROAD","00020889",527109.38,183671.61,"Near TOWNSHEND RD","Standard","Functional","False"
"ACACIA ROAD","00020871",526766.4,183317.91,"At or Outside 63","Standard","Functional","False"
"ACACIA ROAD","00020890",527137.92,183685.29,"At or Outside 47","Standard","Functional","True"
"ACACIA ROAD","00020872",526782.32,183341.72,"Opposite KINGSMILL TERRACE","Standard","Functional","False"
"ACACIA ROAD","00020874",526812.76,183349.1,"Outside 65/66","Standard","Functional","False"
"ACACIA ROAD","00020875",526836.94,183378.58,"Opposite ST ANNES TERRACE","Standard","Functional","True"
"ACACIA ROAD","00020876",526866.43,183387.55,"At or Outside 3A","Standard","Functional","True"
"ACACIA ROAD","00020877",526888.71,183405.58,"At or Outside 6","Standard","Functional","True"
"ACACIA ROAD","00020878",526904.44,183434.11,"At or Outside 50","Standard","Functional","True"
"ACACIA ROAD","00020879",526930.26,183445.32,"At or Outside 10","Standard","Functional","True"
"ADAM AND EVE COURT","00069168",529310.99,181377.88,"At or Outside 8","Small Grey Wornum","Heritage","False"
"ADAM AND EVE COURT","00069169",529320.55,181356.11,"Near 20 YARDS FROM SL1","Small Grey Wornum","Heritage","False"
"ADAM AND EVE COURT","00026972",529326.29,181340.51,"Near 20 YARDS FROM SL2","Standard","Functional","False"
"ADAM AND EVE COURT","00026973",529334.64,181321.04,"Near 20 YARDS FROM SL3","Standard","Functional","False"
"ADAM STREET","00020907",530408.29,180647.95,"At or Outside 9","Small Grey Wornum","Heritage","False"
"ADAM STREET","00279307",530408.29,180647.95,"Junction with Strand","Small Grey Wornum","Heritage","False"
"ADAM STREET","00020908",530426.18,180629.74,"At or Outside 6","Small Grey Wornum","Heritage","False"
"ADAM STREET","00020909",530429.09,180611.54,"At or Outside 8m from John Adam Street","Small Grey Wornum","Heritage","False"
"ADAM STREET","00020910",530443.78,180608.02,"At or Outside 1-5","Small Grey Wornum","Heritage","False"
"ADAM STREET","00020911",530444.7,180591.81,"Opposite 1-5","Small Grey Wornum","Heritage","False"
"ADAM STREET","00020912",530459.84,180587.83,"Side of 1-5","Small Grey Wornum","Heritage","False"
"ADAMS ROW","00063327",528392.72,180649.57,"Opposite 18","Small Grey Wornum","Heritage","False"
"ADAMS ROW","00020917",528417.56,180656.86,"Opposite 15","Small Grey Wornum","Heritage","False"
"ADAMS ROW","00063330",528491.23,180672.03,"AT OR OUTSIDE 10MTRS FROM CARLOS PLACE","Small Grey Wornum","Heritage","False"
"ADELAIDE STREET","00259060",530149.21,180601.44,"AT OR OUTSIDE NO.11","William IV","Listed","False"
"ADELAIDE STREET","00259061",530157.91,180601.33,"AT OR OUTSIDE NO.9","William IV","Listed","False"
"ADELAIDE STREET","00259062",530150.01,180577.5,"OPPOSITE NO.8","Ennismore","Cherished","False"
"ADELAIDE STREET","00259063",530158.48,180577.05,"AT OR OUTSIDE NO.8","Ennismore","Cherished","False"
"ADELAIDE STREET","00259064",530148.98,180554.94,"OPPOSITE L/C NO.6","Imperial","Cherished","False"
"ADELAIDE STREET","00259065",530161.12,180554.83,"OPPOSITE L/C NO.5","Imperial","Cherished","False"
"ADELAIDE STREET","00259066",530150.01,180527.8,"OPPOSITE NO.449","Acanthus","Cherished","False"
"ADELAIDE STREET","00259067",530161.92,180529.17,"AT OR OUTSIDE NO.449","Acanthus","Cherished","False"
"ADELPHI TERRACE","00016284",530400.94,180531.53,"Outside 11 by the stairs","Small Grey Wornum","Heritage","False"
"ADELPHI TERRACE","00016285",530419.45,180555.4,"At or Outside 12m from Roberts Street","Small Grey Wornum","Heritage","False"
"ADELPHI TERRACE","00016286",530430.93,180554.33,"At or Outside 24m from Robert Street","Small Grey Wornum","Heritage","False"
"ADELPHI TERRACE","00016287",530434.75,180567.33,"At or Outside 34m from Robert Street","Small Grey Wornum","Heritage","False"
"ADPAR STREET","00016297",526717.98,182001.93,"At or Outside 1A","Standard","Functional","True"
"ADPAR STREET","00016298",526732.17,181976.26,"Opposite DEVONSHIRE HOUSE","Standard","Functional","True"
"ADPAR STREET","00059458",526742.77,181973.4,"At or Outside DEVONSHIRE HOUSE","Standard","Functional","True"
"ADPAR STREET","00016300",526763.2,181942.75,"Opposite DEVONSHIRE HOUSE","Standard","Functional","True"
"ADPAR STREET","00016301",526785.5,181926.17,"At or Outside DEVONSHIRE HOUSE","Standard","Functional","False"
"AGAR STREET","00264714",530276,180623,"opp 8","Large Grey Wornum","Not Specified","True"
"AGAR STREET","00016302",530250.16,180651.03,"o/s police station, Opposite 6","St Martin in the Field","Cherished","False"
"AGAR STREET","00059463",530236.35,180668.76,"At or Outside 1m from Chandos Place","Large Grey Wornum","Heritage","False"
"AIR STREET","00261942",529394.37,180738.05,"Near j/w Brewer Street","Small Grey Wornum","Heritage","False"
"AIR STREET","00016312",529398.28,180716.54,"Side of building 36-40","Small Grey Wornum","Heritage","False"
"AIR STREET","00076005",529417.34,180692.59,"O/S NO.18 QUADRANT ARCADE","Wall Mounted","Heritage","False"
"AIR STREET","00059470",529425.36,180669.84,"O/S NO.74","Wall Mounted","Heritage","False"
"AIR STREET","00261941",529447.64,180624.13,"Opposite side of 65 Regent Street","Small Grey Wornum","Heritage","False"
"ALBANY COURTYARD","00022665",529273.84,180524.92,"At or Outside 1
Grade II Listed  List entry number 1066517","Trafalgar","Listed","False"
"ALBANY COURTYARD","00064909",529287.59,180532.79,"At or Outside 5
Grade II Listed  List entry number 1066517","Trafalgar","Listed","False"
"ALBEMARLE STREET","00022667",529129.16,180419.16,"At or Outside 1","Large Grey Wornum","Heritage","False"
"ALBEMARLE STREET","00022676",528980.15,180623.1,"At or Outside 25-26","Large Grey Wornum","Heritage","False"
"ALBEMARLE STREET","00022677",528972.2,180652.93,"At or Outside 6m from Grafton Street","Large Grey Wornum","Heritage","False"
"ALBEMARLE STREET","01302605",529104.98,180434.84,"o/s no. 49","Large Grey Wornum","Not Specified","False"
"ALBEMARLE STREET","00022668",529078,180530,"Outside No. 9","Large Grey Wornum","Heritage","False"
"ALBEMARLE STREET","00022669",529098.26,180464.59,"Opposite 45","Large Grey Wornum","Heritage","True"
"ALBEMARLE STREET","00022670",529076.84,180479.43,"At or Outside 42","Large Grey Wornum","Heritage","False"
"ALBEMARLE STREET","00064914",529072.55,180503.45,"At or Outside 9","Large Grey Wornum","Heritage","False"
"ALBEMARLE STREET","00022672",529047.76,180522.43,"At or Outside 35","Large Grey Wornum","Heritage","False"
"ALBEMARLE STREET","00022673",529038.89,180554.1,"At or Outside 15","Large Grey Wornum","Heritage","True"
"ALBEMARLE STREET","00022674",529013.5,180573.69,"At or Outside 29","Large Grey Wornum","Heritage","False"
"ALBEMARLE STREET","00064918",529007.07,180601.52,"Opposite 27","Large Grey Wornum","Heritage","False"
"ALBERT GATE","00008871",527919.06,179766.12,"At or Outside FRENCH EMBASSY","Standard","Functional","False"
"ALBERT GATE","01300630",527906.07,179767.18,"Outside Kuwait embassy.","Standard","Not Specified","False"
"ALBION STREET","00022695",527295.29,181072.25,"opposite 23","Small Grey Wornum","Heritage","False"
"ALBION STREET","00022696",527289.57,181041.07,"Outside No. 19","Small Grey Wornum","Heritage","False"
"ALBION STREET","00022698",527304.83,181021.41,"Outside No. 33","Small Grey Wornum","Heritage","False"
"ALBION STREET","00022699",527297.09,180999.64,"outside 10-11","Small Grey Wornum","Heritage","False"
"ALBION STREET","00022700",527301.09,180978.95,"At or Outside 7","Small Grey Wornum","Heritage","False"
"ALBION STREET","00022701",527314.42,180967.37,"Outside No. 42","Small Grey Wornum","Heritage","False"
"ALBION STREET","00022702",527308.76,180939.57,"next to Albion Close","Small Grey Wornum","Heritage","False"
"ALBION STREET","00022703",527322.63,180923.12,"side of 43-56 Albion Gate","Small Grey Wornum","Heritage","False"
"ALBION STREET","00022704",527314.54,180907.06,"side of 60-80 Albion Gate","Small Grey Wornum","Heritage","False"
"ALDERNEY STREET","00022635",528785.35,178500.12,"opposite No. 13","Mackenzie Moncur","Cherished","False"
"ALDERNEY STREET","01300087",529020.35,178322.47,"At or Outside 92","Mackenzie Moncur","Heritage","False"
"ALDERNEY STREET","00022661",529047.22,178315.77,"At or Outside 11","Mackenzie Moncur","Cherished","False"
"ALDERNEY STREET","01300089",529093.05,178284,"At or Outside No. 55 Gloucester St","Mackenzie Moncur","Heritage","False"
"ALDERNEY STREET","00064891",529093.44,178269.99,"At or Outside No. 66/68 Gloucester St","Mackenzie Moncur","Cherished","False"
"ALDERNEY STREET","00022642",529139.96,178247.85,"Opposite 124","Mackenzie Moncur","Cherished","False"
"ALDERNEY STREET","01300090",529178.29,178210.47,"Outside 134","Mackenzie Moncur","Cherished","False"
"ALDERNEY STREET","00022636",528805.92,178485.49,"Opposite 23","Mackenzie Moncur","Cherished","False"
"ALDERNEY STREET","01300085",528832.41,178457.86,"Outside No. 28","Mackenzie Moncur","Heritage","False"
"ALDERNEY STREET","00022637",528859.22,178451.27,"At or Outside 37","Mackenzie Moncur","Cherished","False"
"ALDERNEY STREET","00022657",528886.86,178418.08,"At or Outside 54","Mackenzie Moncur","Cherished","False"
"ALDERNEY STREET","01300086",528939.33,178392.9,"At or Outside 71/73","Mackenzie Moncur","Heritage","False"
"ALDERNEY STREET","00022639",528944.52,178388.27,"At or Outside 73","Mackenzie Moncur","Cherished","False"
"ALDERNEY STREET","00022640",528979.24,178364.63,"At or Outside 85","Mackenzie Moncur","Cherished","False"
"ALDFORD STREET","00016313",528272.7,180484.39,"At or Outside 7","Mackenzie Moncur","Cherished","False"
"ALDFORD STREET","00016314",528330.38,180495.25,"At or Outside 3","Mackenzie Moncur","Cherished","False"
"ALDFORD STREET","00016315",528364.8,180505.5,"Side of 64 SOUTH AUDLEY STREET","Mackenzie Moncur","Cherished","False"
"ALDRIDGE ROAD VILLAS","00016325",524904.33,181676.59,"At or Outside 53","Standard","Functional","False"
"ALDRIDGE ROAD VILLAS","00016326",524920.65,181648.6,"At or Outside 47","Standard","Functional","True"
"ALDRIDGE ROAD VILLAS","00016327",524926.95,181620.03,"At or Outside 40","Standard","Functional","True"
"ALDRIDGE ROAD VILLAS","00016328",524940.59,181596.49,"At or Outside 34","Standard","Functional","True"
"ALDRIDGE ROAD VILLAS","00016329",524955.39,181571.19,"At or Outside 26","Standard","Functional","True"
"ALDRIDGE ROAD VILLAS","00016330",524977.78,181551.25,"At or Outside 15","Standard","Functional","True"
"ALDRIDGE ROAD VILLAS","00016331",524986.06,181536.56,"At or Outside 11","Standard","Functional","True"
"ALDRIDGE ROAD VILLAS","00016332",525004.48,181505.08,"Opposite 2","Standard","Functional","False"
"ALDRIDGE ROAD VILLAS","00016333",525010.31,181478.38,"Side of WESTBURY HOUSE","Standard","Functional","True"
"ALDWYCH","01302433",530630,180887,"opp 1 aldwych","Large Grey Wornum","Heritage","False"
"ALDWYCH","01300671",530686.45,180999.02,"Opposite The Aldwych Theatre","Large Grey Wornum","Not Specified","False"
"ALDWYCH","01300672",530699.36,181015.81,"Opposite LC12","Large Grey Wornum","Not Specified","False"
"ALDWYCH","00016418",530690.46,181032.74,"Opposite BUSH HOUSE-NORTH WEST WING","Large Grey Wornum","Heritage","False"
"ALDWYCH","01302148",530714.94,181043.15,"Splitter Island opposite no.1 Kingsway","Large Grey Wornum","Not Specified","False"
"ALDWYCH","00074998",530731.16,181049.26,"Opposite 61 on island","Large Grey Wornum","Heritage","False"
"ALDWYCH","00016421",530751.22,181061.98,"Outside 61 CONNAUGHT HOUSE","Large Grey Wornum","Heritage","False"
"ALDWYCH","00059563",530754.3,181041.53,"Opposite 61","Large Grey Wornum","Heritage","False"
"ALDWYCH","00016424",530770.41,181065.14,"At or Outside 5M FROM HOUGHTON STREET","Large Grey Wornum","Heritage","False"
"ALDWYCH","00016425",530779.92,181047.21,"Opposite HOUGHTON STREET","Large Grey Wornum","Heritage","False"
"ALDWYCH","00016426",530799.37,181068.62,"At or Outside 69","Large Grey Wornum","Heritage","False"
"ALDWYCH","00016405",530615.96,180906.08,"At or Outside 6M FROM CATHERINE STREET","Large Grey Wornum","Heritage","False"
"ALDWYCH","00016427",530802.22,181054.73,"At or Outside 46 Melbourne House","Large Grey Wornum","Heritage","False"
"ALDWYCH","00016428",530824.81,181067,"Opposite junction with Melbourne Place","Large Grey Wornum","Heritage","False"
"ALDWYCH","00281939",530837.43,181054.41,"Outside AUSTRALIAN HIGH COMMISSION","Large Grey Wornum","Heritage","False"
"ALDWYCH","00016430",530848.88,181061.48,"Opposite 91","Large Grey Wornum","Heritage","False"
"ALDWYCH","01300674",530873.44,181044.44,"Opposite post office.","Large Grey Wornum","Not Specified","False"
"ALDWYCH","00281940",530880.41,181054.18,"Opposite AUSTRALIA HOUSE","Large Grey Wornum","Heritage","False"
"ALDWYCH","00016433",530895.05,181049,"At or Outside 14M FROM STRAND","Large Grey Wornum","Heritage","False"
"ALDWYCH","00281903",530892.94,181024.2,"opposite j/w Strand, o/s Australia House","Small Grey Wornum","Heritage","False"
"ALDWYCH","01300673",530911.28,181022.93,"Opposite 265","Large Grey Wornum","Not Specified","False"
"ALDWYCH","00264611",530627.99,180904.83,"opp col 2","Large Grey Wornum","Heritage","False"
"ALDWYCH","00264613",530621,180922,"opp Novello theatre","Large Grey Wornum","Heritage","False"
"ALDWYCH","00016408",530638.29,180925.23,"Opposite Novello theatre.","Large Grey Wornum","Heritage","False"
"ALDWYCH","00264614",530645.22,180944.65,"s/o India place opp waldort hotel","Large Grey Wornum","Heritage","False"
"ALDWYCH","00016413",530649.08,180970.24,"Centre island outside Waldorf hotel.","Large Grey Wornum","Heritage","False"
"ALDWYCH","00264612",530651.43,180992.33,"outside 43","Large Grey Wornum","Heritage","False"
"ALDWYCH","01300670",530665.84,181006.94,"Outside the aldwych theatre.","Large Grey Wornum","Not Specified","False"
"ALEXANDER STREET","00059427",525481.56,181451.01,"Opposite 66 WESTBOURNE PARK ROAD","Standard","Functional","False"
"ALEXANDER STREET","00016271",525492.63,181428.5,"Side of 14 DURHAM TERRACE","Standard","Functional","False"
"ALEXANDER STREET","00016272",525489.15,181413.68,"At or Outside 2","Standard","Functional","True"
"ALEXANDER STREET","01102395",525496.95,181383.17,"Opposite 10","Standard","Not Specified","True"
"ALEXANDER STREET","00016273",525507.31,181374.48,"Opposite 10","Standard","Functional","False"
"ALEXANDER STREET","00016274",525504.88,181351.16,"At or Outside 13","Standard","Functional","False"
"ALEXANDER STREET","00016275",525518.9,181328.69,"Opposite 18","Standard","Functional","False"
"ALEXANDER STREET","00016276",525516.67,181303.43,"At or Outside 22-23","Standard","Functional","True"
"ALEXANDER STREET","00016277",525531.2,181279.34,"Opposite 26","Standard","Functional","True"
"ALFRED ROAD","00010349",525470.98,181829.03,"Side of WESTMINSTER ACADEMY","Tapered","Functional","False"
"ALFRED ROAD","00071544",525439.28,181811.31,"Opposite POLESWORTH HOUSE","Tapered","Functional","False"
"ALFRED ROAD","00010351",525414.41,181809.78,"At or Outside POLESWORTH HOUSE","Tapered","Functional","False"
"ALFRED ROAD","00071546",525393.34,181791.25,"At or Outside HARBOUR CLUB","Tapered","Functional","False"
"ALFRED ROAD","00071547",525366.18,181790.32,"Opposite HARBOUR CLUB","Tapered","Functional","False"
"ALFRED ROAD","00071548",525345.53,181773.3,"Opposite OVERSLEY HOUSE","Tapered","Functional","False"
"ALFRED ROAD","00053883",525313.72,181770.92,"Opposite Playground","Tapered","Functional","False"
"ALFRED ROAD","00071550",525290.74,181754.12,"Opposite RADWAY HOUSE","Tapered","Functional","False"
"ALFRED ROAD","01302474",525420.23,181800.12,"","Standard","Not Specified","False"
