"ChargepointID","LocationName","FeatureLocation","easting","northing"
"Suby1100005953","Churchill Gardens Road","Opposite Ripley HOUSE",529050.76,177989.99
"Suby1100007518","Churchill Gardens Road","Side of front of Lutyens House",529019.97,178005.78
"suby1100007280","Churchill Gardens Road","Side of Keats House",529259.08,177992.19
"Suby1100003299","Circus road","At or Outside 1-30 GROVE COURT",526633.58,182913.26
"Suby1100000324","Circus Road","At or Outside 41",526688.94,182989.93
"Suby1100002679","Circus Road","At or Outside circus lodge",526660.07,182944.02
"Suby1100000100","Circus Road","At or Outside GROVE COURT",526600.23,182888.36
"Suby1100006220","Clarendon Gardens","At or Outside 1",526301.04,182134.19
"Suby1100005986","Clarendon Gardens","At or Outside 11",526339.41,182166.83
"Suby1100006172","Clarendon Gardens","At or Outside 15",526356.2,182180.72
"suby1100006210","Clarendon Gardens","At or Outside CO 15 RANDOLPH AVENUE",526383.01,182203.59
"Suby1100002375","Clarendon place","AT OR OUTSIDE CHESTER HOUSE",527165.3,180907.37
"Suby1100002428","Clarendon Place","AT OR OUTSIDE FALMOUTH HOUSE",527159.55,180882.67
"Suby1100002380","Clarendon Place","AT OR OUTSIDE NO.12",527150.5,180930.6
"Suby1100002483","Claverton Street","At or Outside 19",529356.36,178136.86
"Suby1100002492","Claverton Street","At or Outside 3",529343.58,178182.74
"Suby1100002508","Claverton Street","At or Outside 42",529394.41,178055.4
"Suby1100002480","Claverton Street","At or Outside 54-56",529403.68,178022.59
"Suby1100002505","Claverton Street","Opposite 60-62",529395.49,177996.39
"Suby1100005943","Cleveland Terrace","j/w eastbourne mews",526346,181351.37
"Suby1100005954","Cleveland Terrace","Opposite 119 WESTBOURNE TERRACE",526330.22,181350.69
"Suby1100002556","Clifton Gardens","At or Outside 13 CONNAUGHT HOUSE",526162.46,182116.81
"Suby1100003221","Clifton Gardens","At or Outside 21",526249.02,182185.91
"suby1100003707","Clifton Gardens","At or Outside 4 CONNAUGHT HOUSE",526135.22,182112.33
"Suby1100006213","Clifton Gardens","At or Outside 53",526334.86,182255.49
"Suby1100006180","Clifton Gardens","At or Outside CONNAUGHT HOUSE",526176.26,182145.47
"Suby1100007808","Clifton Hill","At or Outside 109",525903.94,183367.03
"Suby1100002836","Clifton Hill","At or Outside 22",526308.33,183681.86
"Suby1100002844","Clifton Hill","At or Outside 23",526288.04,183657.8
"Suby1100003285","Clifton Hill","At or Outside 9",526342.16,183692.54
"Suby1100007829","Clifton Hill","At or Outside 91",525989.32,183439.32
"Suby1100000317","Clifton Villas","At or Outside 16",526036.23,182020.38
"Suby1100000323","Clifton Villas","At or Outside 2",526000.13,181933.59
"Suby1100003045","Clifton Villas","At or Outside 8",526033.44,181987.62
"Suby1100006571","Cochrane Street","At or Outside COCHRANE HOUSE",526938.57,183138.56
"Suby1100006133","Cosway Street","At or Outside 7",527359.75,181854.12
"Suby1100002438","Courtnell Street","At or Outside 13",525076.31,181204.11
"Suby1100006532","Courtnell Street","At or Outside 18",525079.02,181231.86
"Suby1100002887","Courtnell Street","At or Outside 33",525065,181255.9
"Suby1100003252","Courtnell Street","At or Outside 38",525068.01,181283.22
"Suby1100002881","Craven Hill","At or Outside 18",526330.02,180916.27
"Suby1100002378","Craven Hill","At or Outside 22",526306.91,180902.88
"Suby1100002355","Craven Hill","At or Outside 8",526387.48,180948.88
"Suby1100002889","Craven Hill Gardens","At or Outside 35",526247.4,180913.4
"Suby1100002303","Craven Hill Gardens","At or Outside 40",526275.43,180926.56
"Suby1100002434","Craven Hill Gardens","Opposite 21",526184.11,180829.34
"Suby1100006584","CROXLEY ROAD","At or Outside 51",525026.92,182691.87
"Suby1100006595","CULWORTH STREET","Opposite OSLO COURT",527221.38,183169.32
"Suby1100006619","CULWORTH STREET","Opposite TIBET HOUSE",527240.97,183152.44
"Suby1100002554","Cunningham Place","At or Outside ELMTON COURT FLATS",526730.41,182353.6
"Suby1100005814","Curzon Street","Outside No. 19",528457.72,180219.41
"Suby1100007825","Dean Ryle Street","At or Outside 8 DEAN RYLE STREET",530124.83,178954.73
"Suby1100006609","DELAWARE ROAD","At or Outside 123-132",525588.33,182382.92
"Suby1100006088","DELAWARE ROAD","Opposite SO 104 SUTHERLAND AVE",525737.23,182280.31
"Suby1100002588","Denbigh Street","At or Outside 33",529272.81,178472.7
"Suby1100002592","Denbigh Street","At or Outside 56",529291.29,178444.51
"Suby1100002584","Denbigh Street","At or Outside 62",529307.56,178382.78
"Suby1100002372","Devonshire Place","At or Outside 14",528438.68,182012.96
"Suby1100000087","Devonshire Place","At or Outside 28",528425.5,182009.41
"Suby1100003235","Devonshire Place","At or Outside 5-6",528457.25,181953.12
"Suby1100002384","Devonshire Place","Opposite 33",528449.32,181978.24
"Suby1100002365","Devonshire Place","Opposite 6",528442.47,181953.12
"Steob100000603","Devonshire Street","At or Outside 42",528647.56,181945.79
"Steob100000570","Devonshire Street","At or Outside 82Z Portland Place",528788.76,181987.97
"Suby1100002680","Devonshire Street","Outside No. 12 (opposite 47)",528686.28,181969.83
"Suby1100006073","DEVONSHIRE STREET","Opposite 30",528340.11,181866.31
"Suby1100005925","DEVONSHIRE TERRACE","At or Outside 12",526360.35,181037.49
"Suby1100005919","DEVONSHIRE TERRACE","At or Outside 21",526323.09,181083.62
"Suby1100005940","DEVONSHIRE TERRACE","Opposite 20",526324.14,181067.23
"Suby1100006653","EAMONT STREET","At or Outside 1-10 EAMONT COURT",527254.42,183297.63
"Suby1100006641","EAMONT STREET","At or Outside 32-41 EAMONT COURT",527218.66,183331.25
"Steob100000764","Eaton Square","At or Outside 93",528348.02,179075.8
"Suby1100003208","Eaton Square","At or Outside 98",528382.93,179111.5
"Suby1100002533","Eaton Square","Opposite 40",528363.38,179026.77
"Suby1100006300","Eaton Square","Opposite 50",528375.43,179017
"Suby1100002549","Eaton Square","Opposite 86",528341.17,179003.87
"Suby1100002542","Eaton Square","Opposite 95",528388.07,179052.94
"Suby1100006160","Ebury Bridge Road","At or Outside 34",528518.21,178400.37
"Suby1100006544","Ebury Square","At or Outside LAXFORD HOUSE",528502.09,178557.12
"Suby1100007267","Ebury Street","Opposite 21",528726.65,179119.63
"Suby1100002501","Elgin Avenue","At or Outside 29-37 ASHWORTH MANSIONS",525788.28,182686.19
"Suby1100002502","Elgin Avenue","OUTSIDE NO.78",525247.34,182284.42
"Suby1100002489","Elgin Avenue","OUTSIDE NO.89",525331.73,182346.1
"Suby1100005944","ELGIN AVENUE","0",525000.53,182191.05
"Suby1100005974","ELGIN AVENUE","AT 0R OUTSIDE NO.59",525162.53,182260.41
"Suby1100005903","ELGIN AVENUE","AT 0R OUTSIDE NO.60",525187.32,182254.5
"Suby1100005945","ELGIN AVENUE","AT OR OUTSIDE 1-76 MARBLE HOUSE",525028.17,182201.96
"Suby1100005933","ELGIN AVENUE","AT OR OUTSIDE 1-76 MARBLE HOUSE",525047.06,182209.29
"Suby1100005952","ELGIN AVENUE","At or Outside 107",525453.29,182424.25
"Suby1100005947","ELGIN AVENUE","At or Outside 118-127 BIDDULPH MANSIONS",525661.12,182567.52
"Suby1100005869","ELGIN AVENUE","At or Outside 134",525467.01,182416.39
"Suby1100006640","ELGIN AVENUE","At or Outside 150",525525.34,182461.12
"Suby1100005949","ELGIN AVENUE","At or Outside 164",525557.86,182486.79
"Suby1100005898","ELGIN AVENUE","At or Outside 49-56 ELGIN MANSIONS",525670.82,182593.59
"Suby1100005951","ELGIN AVENUE","At or Outside 65-72 ELGIN MANSIONS",525651.82,182578.72
"Suby1100005882","ELGIN AVENUE","At or Outside 81-88 ELGIN MANSIONS",525626.69,182559.2
"Suby1100005897","ELGIN AVENUE","At or Outside 99-107 BIDDULPH MANSIONS",525681.68,182583.74
"Suby1100006548","ELGIN AVENUE","At or Outside BIDDULPH MANSIONS 50-59",525739.58,182628.56
"Suby1100005928","ELGIN AVENUE","Opposite 164",525544.09,182494.58
"Suby1100005906","ELGIN AVENUE","Opposite 32 CHANTRY CLOSE",524977.67,182182.17
"Suby1100006617","ELGIN AVENUE","OUTSIDE NO.106",525344.75,182336.29
"Suby1100006657","ELGIN AVENUE","OUTSIDE NO.69",525266.46,182311.46
"Suby1100006554","ELGIN AVENUE","OUTSIDE NO.70",525224.11,182272.41
"Suby1100006299","Elizabeth Street","At or Outside 50A",528365.71,178899.64
"Suby1100006230","ENBROOK STREET","At or Outside 25",524306.55,182508.26
"Suby1100007268","ENBROOK STREET","At or Outside 26",524339.54,182512.41
"Suby1100006228","ENBROOK STREET","At or Outside 35",524284.51,182511.47
"Suby1100007202","ENBROOK STREET","At or Outside 36",524321.64,182515.08
"Suby1100003676","ENNISMORE GARDENS","At or Outside 2 BOLNEY GATE",527101.64,179607.36
"Suby1100007821","ENNISMORE GARDENS","At or Outside 22/23_x000D_
Grade II listed  List Entry Number: 1356999",527054.77,179379.61
"Suby1100006410","ENNISMORE GARDENS","At or Outside 53/54_x000D_
Grade II listed  List entry number 1066813",527134.88,179469.98
"Suby1100007828","ENNISMORE GARDENS","Opposite 3_x000D_
Grade II listed  List Entry Number: 1356997",527090.25,179506.6
"Suby1100007832","ENNISMORE GARDENS","Opposite 7_x000D_
Grade II listed  List Entry Number: 1211597",527046.79,179499.36
"Suby1100007836","ENNISMORE GARDENS","Outside 39",527154.08,179368.56
"Suby1100002628","Essendine Road","At or Outside 3",525315.06,182508.02
"Suby1100002570","Essendine Road","At or Outside 80",525386.04,182683.08
"Suby1100002571","Essendine Road","Opposite 15",525328.34,182564.58
"Suby1100006234","Fermoy Road","At or Outside FERMOY HOUSE",524821.1,182067.83
"Suby1100007196","Fermoy Road","At or Outside SANCTUARY HOUSE 1 -6",524716.07,182152.64
"Suby1100007221","Fernhead Road","At or Outside 113/115",524825.36,182807.73
"Suby1100007245","Fernhead Road","At or Outside 124/126",524845.62,182665.27
"Suby1100002443","Fernhead Road","At or Outside 16",524860.05,182312.74
"Suby1100002541","Fernhead Road","At or Outside 160",524824,182770.75
"Suby1100002546","Fernhead Road","At or Outside 180",524810.5,182827.21
"Suby1100002864","Fernhead Road","At or Outside 39",524872.59,182461.42
"Suby1100007253","Fernhead Road","At or Outside 95",524850.84,182689.7
"Suby1100002806","Fernhead Road","O/s 144",524835.36,182717.3
"Suby1100007237","Fernhead Road","Opposite 32",524870.68,182338.2
"suby1100002798","Fernhead Road","Opposite WARLOCK RD",524862.57,182434.64
"Suby1100007195","Fifth Avenue","At or Outside 112",524179.26,182788.07
"Suby1100007239","Fifth Avenue","At or Outside 119",524171.65,182818.26
"Suby1100006218","Fifth Avenue","At or Outside 133",524179.4,182860.86
"Suby1100007230","Fifth Avenue","At or Outside 150/152",524194.49,182898.13
"Suby1100007259","Fifth Avenue","At or Outside 157",524186.88,182929.11
"Suby1100006201","Fifth Avenue","At or Outside 44",524149.88,182575.31
"Suby1100007232","Fifth Avenue","At or Outside 80",524165.1,182687.37
"Suby1100006207","FIRST AVENUE","At or Outside 54",524583,182493.17
"Suby1100006578","Fisherton Street","Opposite 22",526846.22,182248.8
"Suby1100006635","Fisherton Street","Opposite Eastlake House",526892.73,182224.19
"Suby1100003238","Fitzhardinge Street","At or Outside 18",528224.3,181353.99
"Suby1100003222","Fitzhardinge Street","At or Outside 4",528189.35,181355.93
"Suby1100003280","Fitzhardinge Street","Opposite BAKERS MEWS",528169.1,181337.71
"Suby1100008398","Fordingley Road","Opposite 10C",525045.19,182633.13
"Suby1100005797","Formosa Street","Opposite 65",525929.33,182101.24
"Suby1100006290","Fourth Avenue","At or Outside 28/30",524250.58,182535.91
"Suby1100006206","Fourth Avenue","Opposite 43",524255.52,182571.97
"Suby1100002831","Frampton Street","At or Outside Eastlake House",526854.48,182235.34
"Suby1100002559","Frampton Street","At or Outside Tadema House",526810.12,182172.45
"Suby1100007822","Fynes Street","At or Outside 2",529738.59,178844.87
"Suby1100007269","Galton Street","At or Outside 15-17",524189.15,182537.11
"Suby1100006217","Galton Street","At or Outside 30-32",524202.37,182571.84
"Suby1100007260","Galton Street","At or Outside 79",524208.9,182619.53
"Suby1100006205","Galton Street","Opposite EDF SUB STATION 30176",524192.08,182495.44
"Suby1100004887","George street","Opposite 65",528026.95,181436.14
"Suby1100006166","George Street","O/s 77_x000D_
",527989.48,181415.82
"Suby1100006130","Glentworth Street","At or Outside PHOENIX PALACE",527829.13,181990.52
"Suby1100002693","Gloucester Place","Loc: At or Outside. PropNo: 21. Position: On Kerb Edge.",527926,181421
"Suby1100002699","Gloucester Place","Loc: Near. PropNo: 37. Position: On Kerb Edge.",527908,181479
"Suby1100002682","Gloucester Place","Outside 55",527888.24,181549.25
"Suby1100003232","Gloucester Place","Outside No. 45",527900.5,181502.15
"Steob100000791","Gloucester Terrace","At or Outside 178-180",526054.07,181461.03
"Suby1100006285","Gloucester Terrace","At or Outside 18",525870.97,181457.88
"Suby1100006296","Gloucester Terrace","At or Outside 54",526460.8,181047.52
"Suby1100005921","Gloucester Terrace","At or Outside 54/56",526196.51,181328.21
"Suby1100006287","Gloucester Terrace","At or Outside GILRAY HOUSE 1-12",526655.84,180822.47
"Suby1100006295","Gloucester Terrace","O/S no.97",526426.82,181063.1
"Suby1100005946","Gloucester Terrace","Opposite 117",526394.76,181117.91
"Suby1100003699","Gloucester Terrace","Opposite westbourne crescent.",526534.57,180953.04
"Suby1100000315","Gloucester Terrace","Outside No. 143-145",526304.99,181195.34
"Suby1100006588","Grantully Road","At or Outside 41-48 LEIGH MANSIONS",525611.45,182654.56
"Suby1100005787","Grantully Road","At or Outside 75-83 ASHWORTH MANSIONS",525764.82,182775.3
"Suby1100005789","Grantully Road","At or Outside 81-88 LEIGH MANSIONS",525569.49,182621.27
"Suby1100000075","Great Cumberland Place","At or Outside 29",527778.83,181184.04
"Suby1100000074","Great Cumberland Place","At or Outside 53",527743.06,181298.23
"Suby1100005971","Great Peter Street","At or Outside H 1 to 26",529718.4,179189.89
"Suby1100004896","Great Peter Street","Near C/O LORD NORTH STREET",530094.02,179213.16
"Suby1100002631","Great Peter Street","Outside 29/31",530042.72,179209.72
"Suby1100002700","Great Peter Street","Side of 24 TUGTON STREET",529995.17,179209.27
"Suby1100006094","Great Portland Street","At or Outside 107",528967.98,181708.89
"Suby1100002392","Great Western Road","AT OR O/S CULHAM HOUSE",525035.28,181608.84
"Suby1100002390","Great Western Road","At or outside 1 - 12",525003.87,181660.47
"Suby1100006612","Great Western Road","At or Outside 86-104",524991.2,181652.41
"Suby1100002389","Great Western Road","OUTSIDE COMBE HOUSE",525017.9,181637.05
"Suby1100008404","Greenberry Street","Side of 1 Greenberry streetv",527124.2,183097.61
"Suby1100006599","Greenberry Street","Side of 1-12 HANNOVER HOUSE",527169.6,183007.08
"Suby1100007207","Grittleton Road","At or Outside 11",525219.99,182327.65
"Suby1100007256","Grittleton Road","At or Outside 25",525186.02,182348.36
"Suby1100007229","Grittleton Road","At or Outside 8",525192.25,182335.77
"Suby1100006182","Grosvenor Square","At or Outside 45",528417.59,180729.9
"Suby1100006174","Grosvenor Square","At or Outside 7",528469.3,180834.38
"Suby1100006633","Grove End Road","At or Outside 31",526572.31,183101.99
"Suby1100006525","Grove End Road","At or Outside 33",526584.81,183150.8
"Suby1100006611","Grove End Road","At or Outside 44",526576.43,183072.98
"Suby1100006557","Grove End Road","At or Outside 46 SERVITE HOUSES",526590.46,183122.38
"Suby1100006616","Grove End Road","At or Outside 49-64 BRONWEN COURT",526646,182681.35
"Suby1100005890","Grove End Road","Opposite 14 THE VINES",526629.69,182702.38
"Suby1100006534","Grove End Road","Opposite 20",526583.2,182769.9
"Suby1100005910","Grove End Road","Opposite 2A",526710.95,182600.09
"Suby1100006632","Grove End Road","Opposite 40",526557.91,183058.71
"suby1100002858","Guildhouse Street","At or Outside 7",529064.09,178747.69
"Suby1100003291","Halkin Street","Opposite 8",528305.29,179571.09
"Suby1100006579","Hall Place","Opposite CAMPBELL HOUSE",526662.53,182022.25
"Suby1100003288","Hall Road","At or Outside 14",526302.33,182669.5
"Suby1100002820","Hall Road","At or Outside 15",526339.15,182679.35
"Suby1100003705","Hall Road","At or Outside WILLIAM COURT",526450.65,182784.59
"suby1100007016","HAMILTON TERRACE","At or Outside 100",526239.09,182887.07
"Suby1100007102","HAMILTON TERRACE","At or Outside 100",526257.07,182863.98
"Suby1100007001","HAMILTON TERRACE","At or Outside no.103",526187.52,182926.52
"Suby1100007002","HAMILTON TERRACE","At or Outside no.115",526115.94,183018.02
"Suby1100007609","HAMILTON TERRACE","At or Outside no.116",526127.43,183030.51
"Suby1100007373","HAMILTON TERRACE","At or Outside no.118",526103.09,183061.59
"Suby1100007368","HAMILTON TERRACE","At or Outside no.126",526079.04,183092.67
"Suby1100007362","HAMILTON TERRACE","At or Outside no.131/133",526005.45,183160
"suby1100007606","HAMILTON TERRACE","At or Outside no.146",525989.18,183208.47
"Suby1100007125","HAMILTON TERRACE","At or Outside no.149",525932.52,183254.85
"Suby1100007610","HAMILTON TERRACE","At or Outside no.46/48",526459.84,182603.85
"Suby1100007100","HAMILTON TERRACE","At or Outside no.90",526281.83,182832.43
"suby1100007013","HAMILTON TERRACE","At or Outside no.91",526242.71,182855.41
"suby1100007014","HAMILTON TERRACE","Loc: At or Outside. PropNo64. Position: On Kerb Edge.",526410.35,182668.23
"Suby1100007359","HAMILTON TERRACE","Opposite no.127",526038.93,183143.96
"Suby1100007366","HAMILTON TERRACE","Opposite no.149",525940.97,183269.78
"Suby1100007103","HAMILTON TERRACE","Outside No. 38/40",526469.9,182582.22
"Suby1100002437","Harewood Avenue","At or Outside 15",527392,182127
"Suby1100002376","Harewood Avenue","At or Outside 43",527370,182195
"Suby1100005894","Harley street","At or Outside 22",528704,181524.33
"Suby1100007803","Harrowby Street","Opposite MOLYNEUX STREET",527504.47,181439.32
"Suby1100007225","Hatherley Grove","At or Outside 18",525711.08,181256.83
"SUby1100006663","Hereford Road","At or Outside 54",525396.88,181241.58
"Suby1100005923","Hereford Road","At or Outside 69",525380.28,181269.9
"Suby1100005916","Hereford Road","At or Outside 8",525438.14,181039.97
"Suby1100005929","Hereford Road","At or Outside 90",525374.13,181336.56
"Suby1100006194","Hereford Road","Opposite 11",525445.18,181005.54
"Suby1100005917","Hereford Road","Opposite 12",525426.52,181053.12
"Suby1100008471","Hereford Road","Opposite no. 6-10 Berrington House",525471.19,180832.35
"Suby1100005807","Herrick Street","Opposite 1 to 13 ERASMUS STREET",529996.58,178740.06
"Suby1100005795","Herrick Street","Opposite RUSKIN HOUSE",529996.71,178701.57
"Suby1100006168","HILL ROAD","At or Outside 2A",526427.8,183089.52
"Suby1100005927","HILL ROAD","At or Outside 3",526413.29,183066.41
